source;text;person;sentiment
twitter;Calon presiden nomor urut 01 Anies Baswedan mengajak Badan Pengawas Pemilu (Bawaslu) untuk mengembalikan kepercayaan masyarakat di tengah ramainya isu kecurangan jelang Pemilu 2024. Hal ini beliau sampaikan dalam Rapat Koordinasi Nasional (Rakornas) Sentra Penegakan Hukum Terpadu (Gakkumdu) menjelang Pemilu 2024, Senin (27/11/2023).;anies-cak imin;negative
twitter;"Calon presiden dan calon wakil presiden Anies-Muhaimin mengumumkan Tim Pemenangan dengan nama Timnas AMIN di rumah pemenangan di Jalan Diponegoro Nomor 10, Jakarta Pusat, Selasa, 14 November 2023.

Simak siapa saja yang masuk ke dalam Timnas AMIN di infografis di atas.

#tempodotco #tempo #Anies #Muhaimin #AMIN";anies-cak imin;negative
twitter;"Acara ini juga akan dimeriahkan oleh penampilan Cak Kirun dan Marwoto.   Ayo luuurr.. datang dan meriahkann.. Bu Gubernur Khofifah juga bakal rawuh lhooo...  Ayo ndang budhall..  

#ponorogoHEBAT #ponorogokab #jatim #jatimbangkit #jawatimur #wayang #khofifah #kirun #marwoto";anies-cak imin;positive
twitter;"Calon presiden dari Koalisi Perubahan Anies Baswedan menyoroti soal maraknya praktek judi online yang terjadi saat ini. Dia menilai judi online berkembang karena adanya pembiaran.

?? @aniesbaswedan: ""Kalau kita lihat hari ini, ada yang disebut dengan online gambling, perjudian online. Ini semua terjadi kita memberikan ruang.""

Ia mengatakan judi online harus diberantas dengan serius. Pasalnya, menurut dia judi online merupakan bagian dari penyimpangan yang seharusnya tak diberikan ruang.

#Tempodotco #tempo #Anies #JudiOnline";anies-cak imin;negative
twitter;"Pengumuman itu disampaikan Capres Anies Baswedan dalam konferensi pers di kawasan Menteng, Jakarta Pusat, Selasa (14/11/2023). Ada 16 nama yang diperkenalkan Anies sebagai bagian dari tim pemenangan dirinya bersama Muhaimin Iskandar di Pilpres 2024.

Selaku kapten atau ketua Timnas Pemenangan Anies-Muhaimin (AMIN) yakni Marsda (Purn.) M. Syaugi Alaydrus. Syaugi didampingi sejumlah wakil, yakni Sudirman Said, Thomas Trikasih Lembong, Al Muzzammil Yusuf, Nihayatul Mafiroh, M. Azrul Tanjung, K.H. Nasirul Mahasin, Leontinus Alpha Edison, Yusuf Muhammad Martak, Ki Anom Suroto, Mohammad Jumhur Hidayat, K.H. Maksum Faqih, dan Dr. Suyoto.

Kemudian, ada Novita Dewi yang menjabat sebagai Sekretaris Jenderal, Gede Widiadi sebagai Bendahara Umum, dan Ari Yusuf Amir sebagai Ketua Tim Hukum.

#SuaraPenentu

| Narasi Daily";anies-cak imin;negative
instagram;Ini keren sih, akhlak baik, agamais, cerdas dan bisa merangkul berbagai Etnis dan Agama. Mantap pak ANIES BASWEDAN dan MUHAIMIN ISKANDAR ??????;anies-cak imin;positive
instagram;Islam, NU, Gusdurian dsbnya. Tapi saat dapat bangku di Kabinet, knp diam saat ulama di Kriminalisasi? Katanya Rekonsiliasi.. Sudahlah pak, kami sdh muak dengan keberlanjutan Rezim. Sudah saatnya Indonesia berubah, dari yg tidak baik2 saja menjadi baik. Insya Allah pak Anies-Muhaimin ideal dan layak kami perjuangkan. ????;anies-cak imin;positive
instagram;Sudahlah pak, mau poles seperti apapun bapak sudah jauh ditinggalkan pemilih. Rakyat sudah sangat fokus memenangkan pasangan ANIES BASWEDAN dan MUHAIMIN ISKANDAR. AMIN ????????;anies-cak imin;negative
instagram;Tombol Anies Baswedan Presiden RI 2024;anies-cak imin;positive
instagram;InsyaAllah Anies Presiden 2024!;anies-cak imin;positive
instagram;Insya allah pak Anies Baswedan presiden Republik Indonesia 2024;anies-cak imin;positive
instagram;Sabar pqk anies ada hikmahnya..2024 pak anies prisedennya ..amin;anies-cak imin;positive
instagram;"pilih AMIN ?? ????Anies Baswedan ????lahir di Kuningan anak dari Rasyid Baswedan (wakil rektor UII yogyakarta ) dan Aliyah (guru besar UNY) serta cucu dari AR Baswedan pahlawan nasional asal Surabaya.?? Anies sejak SD sudah mempunyai kemampuan leadership yang luar biasa dibuktikan mampu membuat kelompok kelabang dari teman teman se SD nya dan dari anak anak SMP di tempatnya , ??saat SMA anies menjadi ketua OSIS  dan sudah mampu mewawancarai tokoh tokoh nasional untuk program TVRI .?? Kemudian mendapat beasiswa bersekolah selama setahun di Senior High School South Milwaukee, Wisconsin, Amerika Serikat. 
??Saat S1 di UGM anies menjadi ketua Senat dan menjadi aktivis yang ikut menentang otoriternya Orde Baru . ??kemudian sempat bersekolah selama setahun di Senior High School South Milwaukee, Wisconsin, Amerika Serikat. ??Anies kemudian mendapatkan beasiswa Fulbright untuk pendidikan master di bidang international security and economic policy di University of Maryland, College Park. Dia lulus dari kampus di Amerika Serikat itu pada 1998. ??Dia lalu melanjutkan jenjang S3 dengan mengambil jurusan ilmu politik di Northern Illinois University, AS dan lulus pada 2004. Selama di ??sana, Anies bekerja sebagai asisten riset di The Office of Research, Evaluation, and Policy Studies, Northern Illinois University. ??sebelum menjadi menteri Anies adalah penggagas Indonesia mengajar yang  mengirim tenaga tenaga pengajar ke berbagai pelosok di Indonesia , yang berkontribusi pada perkembangan pendidikan kususnya di daerah pelosok. ??Anies juga menjadi rektor termuda  di Universitas Paramadina.?? Tahun 2014 beliau diangkat presiden Jokowi sebagai menteri dan diresuffle tahun 2016  bersama 7 menteri lainya setelah anies menemukan dan melaporkan adanya kejanggalan uang transferan dari kementrian keuangan ke guru yang tidak ada orangnya sebesar 23,3 Triliun rupiah. ??setelah itu tahun 2017 -2022 dipercaya masyarakat DKI sebagai Gubernur , Jakarta memperoleh berbagai penghargaan dari berbagai bidang baik nasional maupun internasional. Bahkan jakarta menjadi kota percontohan dunia dibawah kepemimpinan Anies. ??Dan sekarang beliau dicalonkan sebagai calon presiden 2024-2029 ??????,";anies-cak imin;negative
instagram;eh, 212 ke anies yaa???;anies-cak imin;neutral
instagram;Mantap pak anies ????;anies-cak imin;positive
instagram;Madura itu terpecah, banyak pendukung Muhaimin Iskandar disana, semakin mantap dukung pasangan ANIES BASWEDAN dan MUHAIMIN ISKANDAR ??????;anies-cak imin;positive
instagram;AMIN Anies dan Muhaimin;anies-cak imin;neutral
instagram;Jawa Barat sudah konsisten mendukung Anies;anies-cak imin;positive
instagram;Yg jujur disini ternyata cuman cak imin.;anies-cak imin;positive
instagram;Tenang CAK IMIN,saya ada di sini ?????? 01;anies-cak imin;positive
instagram;orang pinter pasti pilih pak anies. #salamakalsehat;anies-cak imin;positive
instagram;All In Anies presiden. AMIN ????????;anies-cak imin;positive
instagram;Bismillah Rapatkan Barisan dan Kawal Terus Sampai Pak Anies Jadi Presiden ??;anies-cak imin;positive
instagram;???????? ANIES SELALU DI HATI SEMOGA SUKSES SELALU SEHAT PANJANG UMUR;anies-cak imin;positive
instagram;Semoga nomor 1 pak ANIES menjadi PRESIDEN ???? ?? ?? ??????? ?? ???? ????????;anies-cak imin;positive
instagram;Anies saja untuk 2024;anies-cak imin;neutral
instagram;Orang pintar pilih Anies Baswedan;anies-cak imin;negative
instagram;Yaaaahhhhhh...????. Aku pilih Anies pastinya...??????????;anies-cak imin;positive
instagram;Anies is the best;anies-cak imin;positive
instagram;ANIES PRESIDEN..BIAR GA ADA BRUTALITY BULDOSER..PITING2..ALA2 PKI..SEMOGA ALLAH JAWAB TUNAI AZAB YG LEBIH PEDIH;anies-cak imin;positive
instagram;Ngimpi kali ya....no.1 Amin Anies waelah Presiden 2024....ok....ok....ok...yae yae yae...;anies-cak imin;positive
instagram;Asal bukan anies sih pilihannya, #ganjarmahfud2024 lebih baik ??;anies-cak imin;negative
instagram;Serius nanya Anies ngapain saat gub DKI di era dia?;anies-cak imin;negative
instagram;Yang penting bukan Anies. No 3 ????;anies-cak imin;negative
instagram;Apakah pak Anies tidak punya cermin dirumah ??? Serius nanya !!!!;anies-cak imin;positive
instagram;Tombol Anis & cak Imin ???? ========>;anies-cak imin;neutral
instagram;Logikanya : kenapa tidak dari dulu dulu cak ? Giliran butuh suara aja kyk gitu;anies-cak imin;negative
instagram;Bismillah cak imin menamg;anies-cak imin;positive
instagram;Ada ga GUBERNUR DIINDONESIA YANG BANGUN STADION BERKELAS INTERNASIONAL? CUMA SAPA? YA PAK ANIES;anies-cak imin;negative
instagram;Dari pada milih bocil lebih baik milih Anies Baswedan yang sudah jelas rekam jejaknya hebat ??;anies-cak imin;negative
instagram;Pak Anies kalo udh janji pasti ditepati;anies-cak imin;negative
instagram;JIS adlh Bukti, kalau Anies Presiden nggak mungkin stadion ini tidak terbangun ??;anies-cak imin;negative
instagram;Pak Anies keren bgt naikin upah buruh diatas 5 %;anies-cak imin;negative
instagram;Tetap pak anies mau gmn pun;anies-cak imin;positive
instagram;Dari susunan nya.. kelihatan kurang dukungan dan simpatisan.. yaa.. sdh jadi capres aja sdh bersyukur ya pak Anies ya.. ????;anies-cak imin;positive
instagram;Yusuf martak bakal jadi menteri apa yah..kalau misalkan anies menang;anies-cak imin;negative
instagram;Anies - Muhaimin 2024;anies-cak imin;neutral
instagram;Tetap anies baswedan;anies-cak imin;positive
instagram;Anies ternyata bisa nyindir juga, kirain lurus lurus aja??;anies-cak imin;positive
instagram;Sopo Iki cak? @azmifaiznur;anies-cak imin;neutral
instagram;"tetap pak ANIES saja ???? Rekam jejak dan pencapaian Anies di DKI jakarta :
1. jakarta internasional eprix sircuit (JIEC).
2. Jakarta Internasional Stadium (JIS) yang dibangun 100% anak anak bangsa.
3. Revitalisasi kota tua Batavia.
4. pembangunan jalur sepeda.
5. JPO pinisi jl jend.Sudirman
6. JAKI aplikasi jakarta kini.
7. jaklingko.
8. pelebaran trotoar untuk pejalan kaki.
9. gratiskan PBB dibawah 2M.
10. 3200 lebih rumah DP 0 RP.
11. kampung susun akuarium .
12. flay over tapal kuda .
13. Revitalisasi simpang lima pasar senen.
14. mengjadirkan pangan murah bekerjasama denga petani JATENG dan JATIM.
15. 5kartu kesejahteraan .
16. mengintegrasikan angkutan umum.
17. penghargaan kota layak anak .
18. honorable mantion sustainable transport award.
19. penghargaan kemenag dibidang pengembangan pendidikan agama.
20. transjakarta top corporate performance 2020.
21. predikat wajar tanpa pengecualian (WTP) 5 th berturut turut.
22. penghargaan BNN RI.
23. pembina BUMD terbaik 2020.
24. peraih 9 kategori juara umum anugerah publik relation indonesian award 2020.
25. peraih anugerah inovasi indonesia (ICAI) 2020 IDX channel.
26. juara kompetisi nasional TIK kemenfo RI.
27. indonesia governent procurement award 2020.
28. penghargaan TOP 45 2020 inovasi pelayanan publik.
29. medali emas bhumandala award .
30. penghargaan kota peduli HAM dari kemenkumham.
31. penghargaan HEROES 
32. penghargaan KPPU AWARD 2021.
33. juara sustainable transport award 2021.
34. penghargaan pilar pilar sosial penanganan covid 19 2021.
35. penghargaan IDC future interprise award 2021.
36. TOP Digital award 2021.
37. pencapaian kota ramah sepeda se Indonesia.
38. penghargaan OJK award.
39. penghargaan best Governor for inclusive economic growth peaple of the year 2021.
40. penghargaan perda paling informatif.
41. best regional leader.
42. anugerah padmamitra award.
43. anugerah dwija praja nugraha.
44. juara 1 WSIS prizez 2022 .
45. harmony award.
46. PASIAD education award.
48. menaikkan UMR jakarta 10%.
49. membangun 33 Rusunawa .
50. gratiskan jaklingko.
51. pertumbuhan ekonomi 10%.
52. sopir angkot gaji UMR .
53. mengatasi titik banjir dari 105 menjadi 35 titik banjir.
54. membangun 400";anies-cak imin;positive
instagram;"Biarkan saja, tak usah ditanggapi, yang penting untuk periode 2024-2029 nanti Insya Allah presiden kita Bapak Anies Rasyid Baswedan 
AMIN kan aja dulu";anies-cak imin;positive
instagram;Yess maju terus Pak Anies ????;anies-cak imin;neutral
instagram;dukung pak Anies Baswedan jd presiden RI 2024 ya bro !? Taat KONSTITUSI ????????, #SALAMAKALSEHAT dan #SALAMMERDEKA ????.????;anies-cak imin;positive
instagram;Bismillahirrahmanirrahim pak Anies Baswedan presiden RI sesuai instruksi dari ijtima ulama????;anies-cak imin;positive
instagram;Simpatisan di bawah bnyak ke ANIES;anies-cak imin;positive
instagram;Nah kalo bicara pendidikan, hanya Anies capres yg paling cocok??;anies-cak imin;neutral
instagram;1 Anies Presiden RI 2024 Amin;anies-cak imin;positive
instagram;Presiden Anies Baswedan, ketua KPK novel Baswedan, tombol like }};anies-cak imin;positive
instagram;Klo pak anies ga perlu pakai emosi tp bersahaja ngejawabnya;anies-cak imin;positive
instagram;Saya respect dengan Anies, tp kok jubirnya kayak gini??;anies-cak imin;negative
instagram;Tetap #1 Anies-Muhaimin??;anies-cak imin;positive
instagram;HANYA ANIES RASYID BASWEDAN yg dapat dipercaya;anies-cak imin;positive
instagram;Udah paling bagus rumput jaman pa anies bangun eh di ganti rumputnya sama sekelompok orang orang bahlul ya jd begini lah ,,,memalukan .... @erickthohir anda masih sehat kah ?????;anies-cak imin;negative
instagram;Ikut jadi pemain... Jadi inget pidato Cak Imin di KPU;anies-cak imin;negative
instagram;Tetap p anies di hati;anies-cak imin;positive
instagram;Anies RI 1;anies-cak imin;neutral
instagram;Mantabbb in sya Alloh p. Anies RI1 2024, kami sekeluarga selalu berdoa untk Anies yesss RI1;anies-cak imin;positive
instagram;Semoga Allah swt ridho kepada pak Anies Baswedan pimpin Indonesia di 2024, Aamiin yaa Rabbal'alamiin;anies-cak imin;positive
instagram;Inshaa allah pak anies baswedan presiden RI 2024..AAMIIN.;anies-cak imin;positive
instagram;Anies Sahabat Buruh ??;anies-cak imin;neutral
instagram;"Bismillah... 
Nomor urut 1 = 1 Putaran.. ???
InsyaAllah Pak Anies Presiden RI 2024..???";anies-cak imin;positive
instagram;Selama ponakan paman ikut pilpres jadi gaseru ?? konflik of interest sangat terasa banget ?? dan semua itu ditutupi dengan kata gemoy, kocak kocak ?? ingat kata cak Imin, kalau ada yang curang teriakin wwkwkw walau belum tentu berhasil setidaknya buat mereka ga nyaman ??;anies-cak imin;negative
instagram;Yakin ?? Semoga Satu putaran Anies Baswedan Presiden;anies-cak imin;positive
instagram;Jangan pilih orang curang pelanggar konstitusi, produk nepotisme, perusak hukum negara dan haus kekuasaan !! Apalagi yg suka matiin mic rakyat dan pejabatnya banyak koruptornya. Dipastikan tidak amanah, hanya mementingkan diri sendiri, golongan, atau keluarga. Selamat tinggal KEBOHONGAN, selamat datang PERUBAHAN. Salam cerdas, Anies for RI 1 ??;anies-cak imin;negative
instagram;HATI2 LAH JANGAN PEMIMPIN YG CUMA LIFT SERVICE?? ANIES CERDAS GA OBRAL JANJI..TUMBANGKAN BANTENG YG GA ADA PRESTASI NYA..ANAK PKI NGUMPUL DI BANTENG??;anies-cak imin;negative
instagram;Pantes saja ibuk betah sama pak anies, kami rakyat RI saja muak sama janji2 manies nya padahal tidak setiap hari ketemu, apalagi ibuk;anies-cak imin;neutral
instagram;trus apa dong????bocil KATROLAN..kalau maju krn prestasi baru..jgn muji2 biar lancar urusan nya??..ANIES  AJA UDAH CAPRES PALING BAGUS TRACK RECORD NYA;anies-cak imin;negative
instagram;katanya survey pak anies selalu paling buncit,tp kok malah takut ya??;anies-cak imin;negative
instagram;Pak anies emg mantap .. lurah konoha sampe ketakutan;anies-cak imin;positive
instagram;"Salam ""Perubahan??""
Saatnya 2024 rakyat Indonesia sebagai pemenang, bersama Anies Muhaimin untuk Perubahan Indonesia adil sejahtera. AM1N ??????????
#1Putaran";anies-cak imin;positive
instagram;Tunggu keadilan di akhirat .ngak takut akhirat ap ya??semoga Anies dalam lindungan Allah;anies-cak imin;positive
instagram;ANIES PRESIDEN 2024;anies-cak imin;positive
instagram;Anies ajj lah;anies-cak imin;neutral
instagram;Pak Anies tetap di hati ?;anies-cak imin;positive
instagram;Seluruh kekuatan Pak De dikerahkan untuk jegal Anies. Bener2 bukan sifat pemimpin. Udah menggunakan Paman Emka, Bu Suri, kekuasaan no 1 karena pemimpin tertinggi tapi takut kalah. Bener2 bukan sifat seorang ksatria. Miris;anies-cak imin;negative
instagram;Yang diawasi dari anies apanya ya? Janji omong kosongnya kah?;anies-cak imin;negative
instagram;Dibayar Anies nih bocah;anies-cak imin;negative
instagram;Pokoknya semuanya salah nya Pak Anies ??????;anies-cak imin;negative
instagram;Jngn lihat sosok cawaprenya... Lihat ahlak dan adab Capres nya.... Insyaallah akan Anies pada waktunya;anies-cak imin;positive
instagram;ANIES IMIN (AMIN) FOR PRESIDEN 2024 ????;anies-cak imin;positive
instagram;Tetap Anies terbaik;anies-cak imin;positive
instagram;Karma bg mu pak, niat mnjatuhkan pak Anies eh nyatanya caci maki yg anda dpt nari netizen;anies-cak imin;negative
instagram;Kenapa yg ribut para fans anies?, pd hal para pemain memuji sangat baik ... JIS selalu digoreng oleh fans a nies ke arah politik;anies-cak imin;neutral
instagram;Kenapa ga menampilkan Orasi Anies in English Kompas?????;anies-cak imin;negative
instagram;Tumben ngak ada Anies wkwkk;anies-cak imin;negative
instagram;Kalo pak anies baswedan kira2 pake bahasa apa ya, baca teks apa enggak ya;anies-cak imin;negative
instagram;Pasukan Yg nutup Mata...NGERASAIN KAN NAIK ANGKOT GRATIS..SELTEL BUSWAY TROAR BAGUS...KAMPUNG YG DULU DI GUSUR DI BANGUN ANIES UTK WARGA NYA..CUMA GEGARA DP NOL PERSEN GA JLN LUPA SAMA KEBERHASILAN NYA DI GORENG SAMPE GOSONG..STADIUM PERSIJA  DI BANGUN SESUAI JANJI..COBA SEBUTKAN JANJI JOKOWI YG TERWUJUD??EKONOMI MEROKET?? MENSOS NGORUP..MENKES NGORUP..KKN..APA YG BAGUS..2024 ANIES TERBAIK TRANSPARAN..AGAMA  NYA BAGUS DI BANDING CAPRES LAIN..CERDAS..IJZAH JELAS..REKAM JEJAK JELAS;anies-cak imin;negative
instagram;Cak imin  ketua  umum PKB  puluhan tahun  masak harus jadi pengurus PBNU  lagi pula cak imin  cucu pendiri NU otomatis  lebih NU dari pengurus NU;anies-cak imin;positive
instagram;InsaAllah Anies presidennya;anies-cak imin;positive
instagram;Pelihara kucing ae lak apik laopo buaya di pelihara  kok kurang gawean cak ??;anies-cak imin;positive
instagram;Maaf bro saya pilih anies-imin;anies-cak imin;negative
instagram;DRAMA LU SINETRON..BIARIN AJA...FOKUS AJA UNTUK PEMENANGAN AMIN ANIES MUHAIMIN NEXT PRESIDEN;anies-cak imin;negative
instagram;Udahlah...dah terlanjur juga si ponakan terdaftar dan putusan mkmk jga gk nganulir putusan sebelumnya. Dah biarin ja dah, toh juga gk tapi ngaruh. In syaa Allah yg terpilih jadi presiden 2024 juga Anies R. Baswedan AMIN, yg jauh dari drama 2 kubu itu Aamiin ya Allah.;anies-cak imin;negative
instagram;All in Anies;anies-cak imin;neutral
instagram;Pasangan Pak Anies dan Cak imin Udah lebih Awal siap satu bulan yang lalu ,menunjukan kematangan paslon dan persiapan dan keseriusan step a head from the others??;anies-cak imin;positive
instagram;Jd inget komentar kader PSI yg meragukan bs gak nya Anies nyalon. Eh ternyata junjungan dia yg nyalonnya ga beretika. Wkwkwk;anies-cak imin;negative
instagram;Anies presiden 2024;anies-cak imin;positive
instagram;Keren ni Anies semua??;anies-cak imin;negative
instagram;ANIES PERUBAHAN;anies-cak imin;neutral
instagram;TV One Bohong loe’ Saya Datang Sama Masa Tidak di Bayar..All in Anies ??????????;anies-cak imin;negative
instagram;Maka dari itu makin yakin pilih anies Baswedan;anies-cak imin;neutral
instagram;BISMILLAAH...ANIES - MUHAIMIN INSYAA ALLAAH...?????????????;anies-cak imin;neutral
instagram;Anies ajah;anies-cak imin;neutral
instagram;Pada ribut, itu rakyat sudah tertuju kepasangan ANIES BASWEDAN dan MUHAIMIN ISKANDAR ??????;anies-cak imin;positive
instagram;Berarti capres jurdil pak Anies Baswedan ????????;anies-cak imin;positive
instagram;Biarlah allah yg menghukum org yg curang semoga pk ANIES JD PRESIDEN AMIN.;anies-cak imin;positive
instagram;Ttp Anies yg terbaik,Dari pada partai lain yg penuh kecurangan;anies-cak imin;negative
instagram;Berita Metrotv tidak independent, tiada hari tanpa berita Anies Baswedan. Metrotv dijadikan corong kampanye Anies-Cak Imin. Lebih baik nonton berita Kompastv, (Independent, Terpercaya.;anies-cak imin;negative
instagram;Insya allah, Anies Baswedan Presiden Republik Indonesia 2024;anies-cak imin;positive
instagram;Terima kasih Pak Anies;anies-cak imin;positive
instagram;biarpun renovasi abis abisan tetap karya anak bangsa x pak anies.;anies-cak imin;positive
instagram;yang buat anak bangsa sendiri, penggagasnya bpk Anies dan team asli indonesia ??;anies-cak imin;negative
instagram;Bukankah yg ngundang MUI, jgn ngadi² min yg datang ke Monas bukan cuma pendukung Anies. Ogah banget kalau datang ke Monas seolah-olah jadi pendukung Anies;anies-cak imin;negative
instagram;Isu Palestina di pake buat kampenye sama Anies.....memalukan;anies-cak imin;positive
instagram;Bismillah Anies Cak imin No 1 insyaallah 1 putaran aja lah menuju RI 1 2024 AMIIN;anies-cak imin;positive
instagram;anies yessss;anies-cak imin;neutral
instagram;Gw sih Anies dan cak Imin ??????;anies-cak imin;neutral
instagram;Orang yg msh waras pasti pilih anies;anies-cak imin;negative
instagram;Setuju cak imin;anies-cak imin;negative
instagram;Anies sosoan gak liat, gak tau malu dulu jadi gubernur dibantu sama siapa yawlooo huhu, orang baik pilih orang baik ???;anies-cak imin;negative
instagram;Anies Baswedan ??;anies-cak imin;neutral
instagram;Anies gas terusn???? nomor 1;anies-cak imin;negative
instagram;Anies - Muhaimin solusi terbaik untuk memimpin bangsa ini yang punya banyak masalah;anies-cak imin;negative
instagram;Anies - Cak Imin ??;anies-cak imin;neutral
instagram;MASYALLAH NO YANG SUDAH DITAKDIRKAN ALLAH SWT ,AN1ES & CAK 1M1N RI 1 MENANG 1 PUTARAN' CAPRESNYA BOLEH 3 TAPI PEMENANGNYA CUKUP 1 , AM1N....??;anies-cak imin;negative
instagram;Masyaallah pak anies dpt no 1, sesuai dgn petunjuk islam, ada yg bisa jelasin makna angka 1 dlm islam...?;anies-cak imin;positive
instagram;Pak Anies sosok yg serius, gus imin suka bercyandaaa~~~~????;anies-cak imin;negative
instagram;Lihat cak imin kok cocok jadi anggota Srimulat ya ??????;anies-cak imin;neutral
instagram;Siapapun kalian di hati yg paling dalam pasti mengakui Anies Baswedan lah yg terbaik ????..;anies-cak imin;neutral
instagram;Anies Presiden;anies-cak imin;positive
instagram;"Formula E Waktu Anies jabat aja dipermasalkan sama Bro @giring dan PSI.
Lalu subsidi Mobil Murah.
Gimmick ??????";anies-cak imin;positive
instagram;????????emang bpk sportif sama Gus dur????????? omong kosong cak.;anies-cak imin;negative
instagram;gila capres gua emang keren ANIES MUHAIMIN GK ADA OBAT????????;anies-cak imin;negative
instagram;Yg paling keren Anies-imin kaya ada tanda tanda alam. Doi dftr paling pertama kemudian doi pas ngambil nomer antrian juga di antrian pertama ehhh pas ngambil nomer urut juga dpt nomer pertama. ????;anies-cak imin;negative
instagram;kurangnya pak anies ini karnah beliau seorang muslim makanya byk yg ga suka mulai dari munafik hingga kafirun. maaf ya bukan nya gue rasis tapi ini fakta, kelompok yg nyerang pak anies narasinya selalu sama klo ga kadrun pasti capres jual agama, padahal pak anies di akui oleh semua kelompok yg mayoritas bahkan yg minoritas sekalipun respect sama beliau;anies-cak imin;negative
instagram;Anies Baswedan;anies-cak imin;neutral
instagram;ANIES BASWEDAN ??;anies-cak imin;neutral
instagram;Bismillaah biidznillaah InsyaAllah No.1 AMIN Anies Muhaimin;anies-cak imin;positive
instagram;No 1 ?? Anies Baswedan terbaik ????;anies-cak imin;positive
instagram;Bismillah Anies the next presiden;anies-cak imin;positive
instagram;Pas kata cak imin,rekam jejak, silahkan di selidiki rekaman jejak mereka masing-masing ??;anies-cak imin;positive
instagram;Bismillah pak Anies Baswedan pilihan tepat untuk NKRI ??;anies-cak imin;positive
instagram;InsyaAllah Pak Anies RI 1 2024 AMIN !;anies-cak imin;positive
instagram;Kawal sampai jadi PRESIDEN ANIES AMIN RI 1 ????;anies-cak imin;positive
instagram;Nomor urut yang cocok buat anies- muhaimin = 0;anies-cak imin;positive
instagram;iya benar SEMOGA pak ANIES menjadi PRESIDEN  ???? ?? ?? ???????? ?? ???? ????????;anies-cak imin;positive
instagram;Anies Baswedan terbaik ??;anies-cak imin;positive
instagram;ANIES - MUHAIMIN ????;anies-cak imin;neutral
